2015-03-14,285.05019224200913,7282.576633110307,<built-in function open>,283.95,289.0,280.86
2015-03-15,286.4548084976858,4415.639155860292,<built-in function open>,288.0,289.24,282.5
2015-03-16,292.55533629575797,8869.04683551017,<built-in function open>,292.37,294.99,287.41
2015-03-17,289.89373643119194,7791.642809200221,<built-in function open>,286.74,293.69,284.01
2015-03-18,269.32175258941663,18679.019473459597,<built-in function open>,258.5,287.0,250.0
2015-03-19,259.11792882675655,16404.545084760386,<built-in function open>,263.05,266.8,249.2
2015-03-20,263.3517615420136,7566.576372410409,<built-in function open>,263.31,267.42,259.31
2015-03-21,261.19930994652844,6016.278187960326,<built-in function open>,261.9,263.62,256.66
2015-03-22,264.5899664331262,5819.244995130206,<built-in function open>,269.45,271.27,259.71
2015-03-23,267.68225451466236,13635.257552890658,<built-in function open>,267.53,273.99,260.81
2015-03-24,251.82716610874206,17690.086147930404,<built-in function open>,246.15,268.51,244.86
2015-03-25,245.33674833536693,11846.565141900963,<built-in function open>,246.88,249.99,234.51
2015-03-26,250.72422817361655,10904.15086400064,<built-in function open>,249.88,254.9,244.92
2015-03-27,248.7967538985879,8447.877558320315,<built-in function open>,247.81,250.99,246.44
2015-03-28,252.0494872820334,5887.868704690329,<built-in function open>,253.52,254.99,247.81
2015-03-29,246.1249838820455,8214.465004630347,<built-in function open>,244.45,254.0,241.0
2015-03-30,245.86558305056818,11380.016577810426,<built-in function open>,248.54,250.06,237.94
2015-03-31,246.25881866568108,8295.448944290249,<built-in function open>,245.8,249.98,242.87
2015-04-01,244.8227720737291,9316.930777340294,<built-in function open>,247.32,248.22,241.07
2015-04-02,250.017736854227,9324.77339420057,<built-in function open>,253.36,255.24,245.8
2015-04-03,254.93990838243798,7056.913292020544,<built-in function open>,254.48,257.43,252.59
2015-04-04,253.9891202381548,4411.624166190015,<built-in function open>,254.63,256.6,251.26
2015-04-05,256.8003512630897,5123.44466942013,<built-in function open>,261.25,261.44,252.06
2015-04-06,259.31263707074385,7388.8177517801905,<built-in function open>,257.57,263.0,255.0
2015-04-07,256.0128364066394,7810.710397400534,<built-in function open>,255.75,258.7,253.45
2015-04-08,249.49831652942714,7597.244387100318,<built-in function open>,247.22,256.2,244.29
2015-04-09,245.03184243675346,7581.022790410247,<built-in function open>,244.23,248.16,239.02
2015-04-10,237.9612988166918,11539.900386070416,<built-in function open>,236.67,244.95,232.35
2015-04-11,237.2606146632667,5547.966369200088,<built-in function open>,237.15,239.99,234.77
2015-04-12,237.66838234542882,4470.708482930046,<built-in function open>,238.0,239.16,234.02
2015-04-13,230.78523761548158,11477.148142880302,<built-in function open>,227.01,238.34,220.77
2015-04-14,221.45169252199184,12104.989175610503,<built-in function open>,220.0,227.02,216.92
2015-04-15,221.90860301431488,8696.816505450315,<built-in function open>,222.94,224.24,218.09
